code,name,country,city
AAA,Anaa,PF,
AAB,Arrabury Airport,AU,Tanbar
AAC,El Arish International Airport,EG,Arish
AAD,Adado Airport,SO,Adado
AAE,Les Salines Airport,DZ,El Hadjar
AAF,Apalachicola Regional,US,Apalachicola
AAG,Arapoti,BR,Jaguariaiva
AAH,Aachen/Merzbruck,DE,
AAI,Arraias,BR,Campos Belos
AAJ,Cayana Airstrip,SR,Kajana
AAK,Aranuka,KI,
AAL,Aalborg Airport,DK,Vadum
AAM,Mala Mala,ZA,
AAN,Al Ain Airport,AE,
AAO,Anaco,VE,Anaco
AAP,Aji Pangeran Tumenggung Pranoto International Airport,ID,
AAQ,Anapa Airport,RU,Anapa
AAR,Aarhus Airport,DK,Ebeltoft
AAS,Apalapsili,ID,
AAT,Altay Airport,CN,Awiytan
AAU,Asau,WS,Asau
AAV,Allah Valley,PH,Surallah
AAW,Abbottabad,PK,Abbottabad
AAX,Araxa Airport,BR,Araxa
AAY,Al Ghaydah,YE,Al Ghayzah
AAZ,Quetzaltenango,GT,Olintepeque
ABA,Abakan Airport,RU,Podsineye
ABB,Asaba International Airport,NG,Asaba
ABC,Los Llanos,ES,
ABD,Abadan Airport,IR,Abadan
ABE,Lehigh Valley International Airport,US,Catasauqua
ABF,Abaiang,KI,Buota Village
ABG,Abingdon,AU,
ABH,Alpha,AU,
ABI,Abilene Regional Airport,US,
ABJ,Felix Houphouet Boigny Airport,CI,Abidjan
ABK,Kabri Dar,ET,
ABL,Ambler Airport,US,
ABM,Northern Peninsula Airport,AU,
ABN,Albina,SR,
ABO,Aboisso,CI,Aboisso
ABP,Atkamba,PG,
ABQ,Albuquerque International Sunport,US,Albuquerque
ABR,Aberdeen Municipal Airport,US,Aberdeen
ABS,Abu Simbel,EG,
ABT,Al-Aqiq Airport,SA,Al Bahah
ABU,Haliwen Airport,ID,Atambua
ABV,Nnamdi Azikiwe International Airport,NG,Madala
ABW,Abau,PG,
ABX,Albury Airport,AU,East Albury
ABY,Southwest Georgia Regional Airport,US,
ABZ,Aberdeen International Airport,GB,Dyce
ACA,Acapulco International Airport,MX,10 de Abril
ACB,Antrim County,US,Bellaire
ACC,Kotoka International Airport,GH,Accra
ACD,Acandi,CO,
ACE,Lanzarote Airport,ES,Tias
ACF,Alaer Talimu Airport,CN,Aral
ACH,Altenrhein Airport,CH,Rheineck
ACI,Alderney Airport,GB,Beaumont-Hague
ACJ,Anuradhapura,LK,Anuradhapura
ACK,Nantucket Memorial Airport,US,Nantucket
ACL,Aguaclara,CO,Sabanalarga
ACM,Arica,CO,Pebas
ACN,International,MX,
ACO,Cobano Airport,CR,Cobano
ACP,Sahand,IR,Bonab
ACR,Araracuara,CO,
ACS,Achinsk,RU,Achinsk
ACT,Waco Municipal Airport,US,Gholson
ACU,Achutupo,PA,Portobelo
ACV,Arcata-Eureka Airport,US,McKinleyville
ACX,Xingyi Airport,CN,Xinzhou
ACY,Atlantic City International Airport,US,Pomona
ACZ,Zabol Airport,IR,Zabol
ADA,Adana Airport,TR,Seyhan
ADB,Izmir Adnan Menderes Airport,TR,
ADC,Andakombe,PG,
ADD,Addis Ababa Bole International Airport,ET,Addis Ababa
ADE,International,YE,Khawr Maksar
ADF,Adiyaman Airport,TR,Adiyaman
ADG,Lenawee County,US,Adrian
ADH,Aldan,RU,Aldan
ADI,Arandis,NA,Arandis
ADJ,Marka International Airport,JO,Amman
ADK,Adak Island Ns,US,
ADL,Adelaide Airport,AU,Plympton
ADM,Ardmore Municipal Airport,US,Dickson
ADN,Andes,CO,Los Andes
ADO,Andamooka,AU,
ADP,Ampara,LK,
ADQ,Kodiak Benny Benson State Airport,US,
ADR,Andrews,US,Andrews
ADS,Addison Airport,US,Haltom City
ADT,Ada Municipal,US,Ada
ADU,Ardabil Airport,IR,Namin
ADV,El Daein,SD,El Daein
ADW,Andrews AFB,US,Andrews AFB
ADX,Leuchars,GB,Leuchars
ADY,Alldays,ZA,
ADZ,Gustavo Rojas Pinilla Airport,CO,San Andres
AEA,Abemama Atoll,KI,
AEB,Youjiang,CN,Tianzhou
AED,Aleneva,US,
AEE,Adareil Airport,SS,
AEG,Aek Godang,ID,Padangsidempuan
AEH,Abéché,TD,Abeche
AEI,Algeciras,ES,Algeciras
AEK,Aseki,PG,
AEL,Albert Lea,US,Albert Lea
AEM,Amgu,RU,
AEO,Aioun El Atrouss,MR,
AEP,Jorge Newbery Airport,AR,Colegiales
AEQ,Ar Horqin Airport,CN,Tianshan
AER,Sochi International Airport,RU,Orel-Izumrud
AES,Vigra Alesund Airport,NO,Valderoy
AET,Allakaket,US,
AEU,Abu Musa,IR,
AEX,Alexandria International Airport,US,Alexandria
AEY,Akureyri Airport,IS,Akureyri
AFA,San Rafael Airport,AR,San Rafael
AFD,Port Alfred,ZA,
AFF,USAF Academy Airstrip,US,Cimarron Hills
AFI,Amalfi,CO,Amalfi
AFK,Ampara Kondavattavan Tank Airport,LK,Ampara
AFL,Alta Floresta Airport,BR,
AFN,Municipal,US,Jaffrey
AFO,Municipal,US,Afton
AFR,Afore,PG,
AFS,Zarafshan,UZ,Tomdibuloq
AFT,Afutara Aerodrome,SB,
AFW,Fort Worth Alliance Airport,US,Haslet
AFY,Afyon,TR,Afyonkarahisar
AFZ,Sabzevar,IR,Sabzevar
AGA,Agadir Al Massira Airport,MA,Inezgane
